Sort method,N,Actual  time taken  in nano seconds,Expected time taken in nano seconds
InsertionSort,10,26.7811,10
InsertionSort,20,49.0074,20
InsertionSort,40,88.7387,40
InsertionSort,80,129.7868,80
InsertionSort,160,188.0937,160
InsertionSort,320,379.8601,320
InsertionSort,640,806.1688,640
InsertionSort,1280,1860.4273,1280
InsertionSort,2560,2681.36,2560
InsertionSort,5120,6033.1278,5120
SelectionSort,10,105.577,100
SelectionSort,20,411.349,400
SelectionSort,40,1494.9746,1600
SelectionSort,80,5161.675,6400
SelectionSort,160,23073.3098,25600
SelectionSort,320,105560.3453,102400
SelectionSort,640,404481.584,409600
SelectionSort,1280,178973.5245,1638400
SelectionSort,2560,6795531.108,6553600
SelectionSort,5120,28063710.05,26214400
