Sort method,N,Actual  time taken  in nano seconds,Expected time taken in nano seconds,
InsertionSort,10,110.3085,100,
InsertionSort,20,387.6277,400,
InsertionSort,40,1591.5143,1600,
InsertionSort,80,6165.3775,6400,
InsertionSort,160,23880.1604,25600,
InsertionSort,320,171300.0272,102400,
InsertionSort,640,280560.4582,409600,
InsertionSort,1280,1753500.022,1638400,
InsertionSort,2560,669609.2684,6553600,
InsertionSort,5120,27612778.59,26214400,
SelectionSort,10,181.9099,100,
SelectionSort,20,461.665,400,
SelectionSort,40,1746.8159,1600,
SelectionSort,80,7423.6153,6400,
SelectionSort,160,26594.0496,25600,
SelectionSort,320,116950.6496,102400,
SelectionSort,640,389018.9087,409600,
SelectionSort,1280,1687715.675,1638400,
SelectionSort,2560,7003902.868,6553600,
SelectionSort,5120,12269016.68,26214400,
